experiment,model,train_csv,val_csv,test_csv,input_mode,loss,augment_mode,sampler,sampler_alpha,lr,image_size,batch_size,epochs,time_limit,num_workers
b250_effb4_sampler8_ft,unetplusplus_effb4,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,building-sqrt,8,1e-4,1024,2,250,19:00:00,4
b400_effb4_sampler8_ft,unetplusplus_effb4,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,building-sqrt,8,1e-4,1024,2,400,30:00:00,4
b250_effb3_building_rich_ft,unetplusplus_effb3,data/processed/splits_noleak_building_rich_002/train_pairs.csv,data/processed/splits_noleak_building_rich_002/val_pairs.csv,data/processed/splits_noleak_building_rich_002/test_pairs.csv,pre,focal-tversky,building-safe,none,4,1e-4,1024,2,250,14:00:00,4
b250_effb3_dmg001_ft,unetplusplus_effb3,data/processed/splits_noleak_dmg001_v2/train_pairs.csv,data/processed/splits_noleak_dmg001_v2/val_pairs.csv,data/processed/splits_noleak_dmg001_v2/test_pairs.csv,pre,focal-tversky,building-safe,none,4,1e-4,1024,2,250,14:00:00,4
b250_deeplab_resnet50_sampler8_ft,deeplabv3plus_resnet50,data/processed/splits_noleak_full_train/train_pairs.csv,data/processed/splits_noleak_full_train/val_pairs.csv,data/processed/splits_noleak_full_train/test_pairs.csv,pre,focal-tversky,building-safe,building-sqrt,8,1e-4,1024,2,250,16:00:00,4
